epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,277.906,1.46953,2.93093,0.00944,0.7136,0.10072,0.1279,0.0737,1.57203,2.43733,0.01976,0.0012129,0.0004043,0.0012129,0.0004043,0.0012129,0.0004043,0.0012129,0.0004043
31,286.024,1.45873,2.94459,0.00945,0.64383,0.11032,0.12794,0.07059,1.59974,2.44197,0.01998,0.001203,0.000401,0.001203,0.000401,0.001203,0.000401,0.001203,0.000401
32,294.025,1.46348,2.92439,0.00939,0.52124,0.12481,0.12735,0.07037,1.59325,2.44234,0.0199,0.0011931,0.0003977,0.0011931,0.0003977,0.0011931,0.0003977,0.0011931,0.0003977
33,302.157,1.45172,2.83083,0.00912,0.58703,0.13519,0.13478,0.07513,1.57992,2.41476,0.01958,0.0011832,0.0003944,0.0011832,0.0003944,0.0011832,0.0003944,0.0011832,0.0003944
34,310.226,1.46107,2.85906,0.00966,0.72389,0.11193,0.13574,0.07744,1.55956,2.38024,0.01963,0.0011733,0.0003911,0.0011733,0.0003911,0.0011733,0.0003911,0.0011733,0.0003911
35,318.294,1.46074,2.78042,0.00916,0.60294,0.10314,0.1338,0.07501,1.57086,2.36811,0.01959,0.0011634,0.0003878,0.0011634,0.0003878,0.0011634,0.0003878,0.0011634,0.0003878
36,326.324,1.45663,2.72456,0.00949,0.74516,0.08664,0.1372,0.07544,1.62019,2.36145,0.01962,0.0011535,0.0003845,0.0011535,0.0003845,0.0011535,0.0003845,0.0011535,0.0003845
37,334.334,1.46634,2.80648,0.00939,0.5967,0.12508,0.13662,0.07609,1.55801,2.36424,0.01959,0.0011436,0.0003812,0.0011436,0.0003812,0.0011436,0.0003812,0.0011436,0.0003812
38,342.36,1.45054,2.74106,0.00909,0.55102,0.10041,0.1417,0.0788,1.59527,2.33704,0.01969,0.0011337,0.0003779,0.0011337,0.0003779,0.0011337,0.0003779,0.0011337,0.0003779
39,350.309,1.43913,2.78018,0.00888,0.53782,0.11511,0.14487,0.07909,1.57389,2.33019,0.01933,0.0011238,0.0003746,0.0011238,0.0003746,0.0011238,0.0003746,0.0011238,0.0003746
40,358.325,1.44035,2.64033,0.00911,0.61277,0.10102,0.14595,0.08081,1.60561,2.30462,0.01967,0.0011139,0.0003713,0.0011139,0.0003713,0.0011139,0.0003713,0.0011139,0.0003713
41,366.524,1.41817,2.65478,0.00872,0.53592,0.11178,0.1485,0.08136,1.59828,2.28677,0.01973,0.001104,0.000368,0.001104,0.000368,0.001104,0.000368,0.001104,0.000368
42,374.623,1.41537,2.62242,0.00879,0.37612,0.16443,0.14756,0.08134,1.61545,2.28922,0.02033,0.0010941,0.0003647,0.0010941,0.0003647,0.0010941,0.0003647,0.0010941,0.0003647
43,382.619,1.40998,2.61078,0.00861,0.44599,0.16412,0.14528,0.07846,1.58923,2.2992,0.01969,0.0010842,0.0003614,0.0010842,0.0003614,0.0010842,0.0003614,0.0010842,0.0003614
44,390.612,1.42408,2.59326,0.0089,0.36484,0.13872,0.15111,0.08093,1.61306,2.28662,0.02007,0.0010743,0.0003581,0.0010743,0.0003581,0.0010743,0.0003581,0.0010743,0.0003581
45,398.726,1.42333,2.57948,0.00899,0.41018,0.12203,0.15441,0.08382,1.58019,2.28569,0.01951,0.0010644,0.0003548,0.0010644,0.0003548,0.0010644,0.0003548,0.0010644,0.0003548
46,406.862,1.40441,2.51888,0.00888,0.36283,0.1778,0.15369,0.08232,1.60689,2.28096,0.01933,0.0010545,0.0003515,0.0010545,0.0003515,0.0010545,0.0003515,0.0010545,0.0003515
47,415.059,1.39712,2.54948,0.00865,0.42418,0.17226,0.15367,0.08207,1.65777,2.25595,0.02007,0.0010446,0.0003482,0.0010446,0.0003482,0.0010446,0.0003482,0.0010446,0.0003482
48,423.236,1.41329,2.52054,0.00882,0.34021,0.18312,0.15279,0.08323,1.61223,2.26134,0.01998,0.0010347,0.0003449,0.0010347,0.0003449,0.0010347,0.0003449,0.0010347,0.0003449
49,431.487,1.40629,2.44374,0.00904,0.36504,0.18699,0.15036,0.08499,1.59994,2.27203,0.01962,0.0010248,0.0003416,0.0010248,0.0003416,0.0010248,0.0003416,0.0010248,0.0003416
50,439.654,1.40547,2.4561,0.00838,0.43083,0.16409,0.15023,0.08444,1.61778,2.24878,0.01925,0.0010149,0.0003383,0.0010149,0.0003383,0.0010149,0.0003383,0.0010149,0.0003383
51,447.943,1.41478,2.40925,0.0089,0.36929,0.1583,0.15277,0.08586,1.5911,2.22313,0.01928,0.001005,0.000335,0.001005,0.000335,0.001005,0.000335,0.001005,0.000335
52,456.142,1.39711,2.41789,0.00841,0.49426,0.1572,0.15075,0.08563,1.59022,2.24178,0.01913,0.0009951,0.0003317,0.0009951,0.0003317,0.0009951,0.0003317,0.0009951,0.0003317
53,464.309,1.39797,2.39702,0.00837,0.40448,0.18581,0.15643,0.08982,1.62534,2.24654,0.01933,0.0009852,0.0003284,0.0009852,0.0003284,0.0009852,0.0003284,0.0009852,0.0003284
54,472.591,1.40245,2.39899,0.0085,0.40715,0.18364,0.16205,0.09351,1.62285,2.20731,0.01927,0.0009753,0.0003251,0.0009753,0.0003251,0.0009753,0.0003251,0.0009753,0.0003251
55,480.671,1.38598,2.3485,0.00838,0.41516,0.14222,0.15883,0.09382,1.63253,2.24168,0.01954,0.0009654,0.0003218,0.0009654,0.0003218,0.0009654,0.0003218,0.0009654,0.0003218
56,488.978,1.40012,2.32535,0.00859,0.54245,0.11746,0.16853,0.09791,1.59658,2.26896,0.01891,0.0009555,0.0003185,0.0009555,0.0003185,0.0009555,0.0003185,0.0009555,0.0003185
57,496.895,1.39197,2.26774,0.00846,0.42638,0.18305,0.16551,0.09549,1.62849,2.21836,0.0194,0.0009456,0.0003152,0.0009456,0.0003152,0.0009456,0.0003152,0.0009456,0.0003152
58,504.929,1.39205,2.3149,0.00838,0.42081,0.15336,0.16447,0.09312,1.61479,2.18202,0.01943,0.0009357,0.0003119,0.0009357,0.0003119,0.0009357,0.0003119,0.0009357,0.0003119
59,512.9,1.38403,2.21807,0.00864,0.5295,0.12224,0.16054,0.09148,1.6154,2.20225,0.0189,0.0009258,0.0003086,0.0009258,0.0003086,0.0009258,0.0003086,0.0009258,0.0003086
60,520.993,1.37423,2.29096,0.00857,0.41672,0.17645,0.16086,0.08974,1.67434,2.2284,0.01928,0.0009159,0.0003053,0.0009159,0.0003053,0.0009159,0.0003053,0.0009159,0.0003053
61,529.142,1.37187,2.2475,0.00819,0.52399,0.12069,0.16066,0.09262,1.64632,2.19286,0.019,0.000906,0.000302,0.000906,0.000302,0.000906,0.000302,0.000906,0.000302
62,537.336,1.38012,2.2388,0.00845,0.43778,0.18077,0.16056,0.09062,1.64969,2.17692,0.01914,0.0008961,0.0002987,0.0008961,0.0002987,0.0008961,0.0002987,0.0008961,0.0002987
63,545.411,1.37597,2.23571,0.00858,0.36567,0.16221,0.16172,0.0928,1.61903,2.14066,0.01952,0.0008862,0.0002954,0.0008862,0.0002954,0.0008862,0.0002954,0.0008862,0.0002954
