epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,639.511,1.54936,4.36012,0.00953,0.4464,0.22367,0.24159,0.13738,1.56878,2.37462,0.01702,0.00128467,0.000428225,0.00128467,0.000428225,0.00128467,0.000428225,0.00128467,0.000428225
31,659.431,1.5551,4.25376,0.00942,0.467,0.22757,0.25122,0.14497,1.56596,2.33704,0.01764,0.00127725,0.00042575,0.00127725,0.00042575,0.00127725,0.00042575,0.00127725,0.00042575
32,679.34,1.55898,4.13578,0.00956,0.5268,0.20983,0.25019,0.14324,1.57037,2.33778,0.01681,0.00126983,0.000423275,0.00126983,0.000423275,0.00126983,0.000423275,0.00126983,0.000423275
33,699.078,1.53746,4.18001,0.00932,0.4567,0.21375,0.25456,0.14828,1.57736,2.31671,0.01724,0.0012624,0.0004208,0.0012624,0.0004208,0.0012624,0.0004208,0.0012624,0.0004208
34,718.968,1.52899,4.02523,0.00928,0.44078,0.2569,0.26306,0.15198,1.57598,2.32582,0.01662,0.00125497,0.000418325,0.00125497,0.000418325,0.00125497,0.000418325,0.00125497,0.000418325
35,738.824,1.55492,3.97805,0.00943,0.4396,0.25317,0.26327,0.15229,1.57414,2.30894,0.01777,0.00124755,0.00041585,0.00124755,0.00041585,0.00124755,0.00041585,0.00124755,0.00041585
36,758.716,1.53914,3.9434,0.00925,0.46443,0.23116,0.27343,0.1587,1.60799,2.29311,0.0174,0.00124012,0.000413375,0.00124012,0.000413375,0.00124012,0.000413375,0.00124012,0.000413375
37,778.813,1.52003,3.87393,0.00913,0.44474,0.25517,0.26327,0.15447,1.61249,2.29471,0.01713,0.0012327,0.0004109,0.0012327,0.0004109,0.0012327,0.0004109,0.0012327,0.0004109
38,798.825,1.53845,3.74019,0.0089,0.46048,0.2562,0.28504,0.16721,1.55522,2.29435,0.01695,0.00122528,0.000408425,0.00122528,0.000408425,0.00122528,0.000408425,0.00122528,0.000408425
39,818.79,1.51802,3.7473,0.00891,0.48653,0.25441,0.28118,0.1651,1.59777,2.26573,0.01684,0.00121785,0.00040595,0.00121785,0.00040595,0.00121785,0.00040595,0.00121785,0.00040595
40,838.655,1.51551,3.61554,0.0093,0.48809,0.25474,0.28314,0.1685,1.60166,2.25186,0.01667,0.00121042,0.000403475,0.00121042,0.000403475,0.00121042,0.000403475,0.00121042,0.000403475
41,858.37,1.5493,3.58718,0.00904,0.4991,0.25881,0.28752,0.16795,1.58855,2.25882,0.01721,0.001203,0.000401,0.001203,0.000401,0.001203,0.000401,0.001203,0.000401
42,878.492,1.50695,3.50151,0.00855,0.45809,0.27348,0.28477,0.16698,1.61568,2.25585,0.01726,0.00119558,0.000398525,0.00119558,0.000398525,0.00119558,0.000398525,0.00119558,0.000398525
43,898.253,1.51465,3.32356,0.00876,0.45108,0.27433,0.2924,0.1724,1.62236,2.26145,0.01732,0.00118815,0.00039605,0.00118815,0.00039605,0.00118815,0.00039605,0.00118815,0.00039605
