,optimal_threshold
calltype_Cheer,0.45968979597091675
calltype_A,0.05888667702674866
calltype_Check,0.5748459100723267
calltype_B,0.014589706435799599
calltype_K,0.1711486130952835
calltype_C,0.09699646383523941
calltype_Chits,0.2577371597290039
calltype_D,0.15256230533123016
calltype_J,0.01870952546596527
calltype_G,0.020529404282569885
calltype_E,0.0679301843047142
