epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
26,31.1932,1.37851,3.09437,0.01407,0.88721,0.66522,0.88866,0.69918,1.59053,1.04804,0.0109,6.71606e-05,2.23869e-05,6.71606e-05,2.23869e-05,6.71606e-05,2.23869e-05,6.71606e-05,2.23869e-05
27,31.8399,1.17052,2.33236,0.01162,0.97841,0.62542,0.88601,0.69883,1.56001,1.11494,0.01062,6.89281e-05,2.2976e-05,6.89281e-05,2.2976e-05,6.89281e-05,2.2976e-05,6.89281e-05,2.2976e-05
28,32.2576,1.37106,2.93262,0.01573,0.97841,0.62542,0.88601,0.69883,1.56001,1.11494,0.01062,7.0625e-05,2.35417e-05,7.0625e-05,2.35417e-05,7.0625e-05,2.35417e-05,7.0625e-05,2.35417e-05
29,33.0298,1.49681,2.61979,0.02527,0.80685,0.6784,0.88151,0.697,1.55138,1.11697,0.01054,7.22511e-05,2.40837e-05,7.22511e-05,2.40837e-05,7.22511e-05,2.40837e-05,7.22511e-05,2.40837e-05
30,33.4554,1.13808,2.74726,0.02389,0.80685,0.6784,0.88151,0.697,1.55138,1.11697,0.01054,7.38065e-05,2.46022e-05,7.38065e-05,2.46022e-05,7.38065e-05,2.46022e-05,7.38065e-05,2.46022e-05
31,34.0864,1.3719,3.42381,0.02196,0.90017,0.66655,0.88144,0.69054,1.56009,1.109,0.01064,7.52913e-05,2.50971e-05,7.52913e-05,2.50971e-05,7.52913e-05,2.50971e-05,7.52913e-05,2.50971e-05
32,34.5259,0.99918,3.15317,0.01779,0.90017,0.66655,0.88144,0.69054,1.56009,1.109,0.01064,7.67054e-05,2.55685e-05,7.67054e-05,2.55685e-05,7.67054e-05,2.55685e-05,7.67054e-05,2.55685e-05
33,35.1812,0.94546,2.34931,0.01348,0.91615,0.66123,0.88149,0.68852,1.56481,1.11031,0.0107,7.80488e-05,2.60163e-05,7.80488e-05,2.60163e-05,7.80488e-05,2.60163e-05,7.80488e-05,2.60163e-05
34,35.632,1.45568,3.1879,0.0196,0.91615,0.66123,0.88149,0.68852,1.56481,1.11031,0.0107,7.93215e-05,2.64405e-05,7.93215e-05,2.64405e-05,7.93215e-05,2.64405e-05,7.93215e-05,2.64405e-05
35,36.287,0.8749,2.17401,0.00759,0.89467,0.65737,0.88141,0.68651,1.5721,1.11035,0.01087,8.05235e-05,2.68412e-05,8.05235e-05,2.68412e-05,8.05235e-05,2.68412e-05,8.05235e-05,2.68412e-05
36,36.9277,0.93249,2.70631,0.01667,0.89467,0.65737,0.88141,0.68651,1.5721,1.11035,0.01087,8.16548e-05,2.72183e-05,8.16548e-05,2.72183e-05,8.16548e-05,2.72183e-05,8.16548e-05,2.72183e-05
